rn	reflex	gloss	gfn	srcabbr	lgid	language	srcid
538336	makə'mtɕar	blunt		YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1574
538335	'kəmtɕʰar	sharp		YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1572
538334	'ʁorʁor	round		YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1569
538333	tɕʰə'rca	swim	v	YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1558
538332	rəna'mpʰər	fly	v	YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1556
538331	βʃa'tsʰar	nest		YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1554
538330	βʃa'ʂpə	feather		YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1549
538329	βʃok̚'pe	wing		YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1547
538328	wu'xpor	beak		YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1545
538327	wuɫ'me	tail		YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1542
538326	ptɕə	claw		YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1539
538325	'ta'ɣrə	horn		YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1532
538324	qap'tɽi	snake		YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1527
538323	ser	louse		YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1525
538322	a'ɣti	flea		YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1523
538321	ʃarvəŋ	fly		YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1521
538320	βza'ɣə	mosquito		YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1519
538319	tɽok̚'me	ant		YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1513
538318	ku'ze	dog		YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1444
538316	ʁa'ju	fish		YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1440
538317	'tambə	worm		YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1442
538315	βʃa'βʃi	bird		YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1438
538313	'teram	wither	v	YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1423
538314	ʁa'ɣser	animal		YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1431
538312	wuʂtsa've	root		YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1417
538311	me'tok̚	flower		YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1415
538310	ra'lak	leaf		YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1408
538309	rɲa'lu	branch		YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1406
538308	xsok'me	stem		YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1404
538307	kaji'wundʑə	bark		YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1402
538306	ka'ju	trunk		YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1400
538305	təkə'ra	grass		YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1398
538304	se	earth		YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1374
538302	tə'wo	stone		YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1368
538303	βʃi'mi	sand		YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1372
538301	cə'ɬap	wave		YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1364
538300	tɕʰə'ʂtse	shore		YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1358
538299	tɕəkina'ndʑaki	flow	v	YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1354
538298	te'ɣjəŋ	float	v	YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1352
538297	na'nəm	sink	v	YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1350
538296	rvow	bubble		YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1348
538295	ci'ki	river		YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1343
538294	mtsʰu	lake		YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1338
538293	ʂpa	plain		YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1334
538292	ʃəŋ'xsar	forest		YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1332
538291	tə'ʁa	valley		YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1330
538290	rə'ngu	mountain		YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1328
538289	mawa'ʂtsəpki	warm (of weather)		YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1326
538288	kəʁa'ʂku	cold		YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1322
538287	kə'jom	hot		YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1320
538286	rloŋ'mar	blow	vi	YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1315
538285	ʁa'lə	wind		YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1312
538284	nə◦'ȵak̚	dark		YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1310
538283	kə'xsaɫ	bright, light		YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1307
538282	tɽə'mak̚	shadow		YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1305
538281	ɣwot	light		YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1303
538280	skar'◦me	star		YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1301
538279	rdza'ŋi	moon		YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1298
538278	ta◦'ŋi	sun		YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1296
538277	'tendʑəɣi	melt	v	YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1294
538276	ta'rlam	ice		YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1290
538275	kʰa've	snow		YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1288
538274	ndʑe	rainbow		YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1286
538273	xlok̚'xmar	lightning		YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1284
538272	ndɽək	thunder		YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1282
538271	tə'rzi	rain		YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1279
538270	smək̚'pe	fog		YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1277
538269	βtɽən	cloud		YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1275
538268	xna'mŋo	sky		YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1271
538267	te'ntɽʰoɫ	get angry	v	YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1242
538266	nə'rgeŋ	glad		YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1230
538265	te'rgen	like it	v	YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1219
538264	nəɫdə'ji	afraid		YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1215
538263	nasə'mtsʰa	teach	v	YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1211
538262	nəɫməŋ'ci	forget	v	YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1207
538261	βse'ŋə	know	v	YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1200
538260	tera'tɽoɫ	think	v	YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1194
538259	sqa'mbə	dry	vt	YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1177
538258	rlon'be	get wet	v	YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1174
538257	mina'tər	fall	v	YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1172
538256	mir	go down, step down	v	YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1169
538255	jar	rise	v	YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1166
538254	nə'ngəɫ	move	v	YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1152
538253	te'rvət	dig (a hole)	vt	YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1128
538252	ʃaŋ'sku	carve it	v	YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1126
538251	ti'xʃu	mix it	v	YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1124
538250	nara'ndze	cut	vt	YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1116
538249	natʰə'ʁe	stub	v	YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1114
538248	wuʁo'rəxtit	swell	v	YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1098
538247	na'rget	cover it (up)	v	YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1096
538246	nə'ptɽʰi	untie it	v	YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1091
538245	te'rə	tie it	v	YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1088
538244	te'xʃe	wash it	v	YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1083
538243	te◦'rtep	fold	v	YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1080
538242	te'ncoki	bend it	v	YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1078
538241	seɫ	split	vi	YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1074
538240	nə'tɕʰu	repair it	v	YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1072
538239	'nətʰorgi	destroy it	v	YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1070
538238	nancʰə'ku	make	v	YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1068
538237	na'pʃo	put it	v	YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1049
538236	nə'ptsʰər	show it	v	YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1047
538235	vi	find it	v	YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1045
538234	nəra'xsi	seek it	v	YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1043
538233	tena'tsʰi	hide it	v	YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1037
538232	na'xtɕər	tread on it		YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1030
538231	ta'xsu	kick	v	YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1028
538230	te'pkor	carry on the back	v	YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1026
538229	rə'mnam	push	vt	YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1013
538228	rəngə'ki	wave	v	YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1007
538227	te'βnoɫ	rub	v	YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1005
538226	noŋ'mȵoŋ	touch	v	YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	1003
538225	nə'ptɽʰi	release	v	YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	0995
538224	na'ndə	seize	vt	YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	0992
538223	nə'βɟo	hold	v	YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	0990
538222	nə'tɕʰat	take	v	YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	0988
538221	nə'ntɽat	bite	v	YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	0986
538220	tetə'ʁar	hit	vt	YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	0980
538219	te'ndʑam	wait	v	YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	0970
538218	nə◦'tʰək̚◦tɕə	meet, crush	v	YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	0968
538217	te'kʰam	give, hand	v	YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	0945
538216	tɽu'tentɕʰam	dance	v	YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	0942
538215	xlə'nəpco	sing	v	YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	0940
538214	rəkə'zip	play		YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	0938
538213	tə'rmi	name		YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	0935
538212	nə'ʒe	call	v	YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	0929
538211	nə'rget	ask	v	YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	0908
538210	nə'βʃat	say	v	YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	0904
538209	na◦'βʃat	speak	v	YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	0901
538208	tə'skat	language		YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	0898
538207	xzaŋ	boat		YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	0890
538206	ndzaŋ	bridge		YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	0881
538205	tɕi	road		YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	0877
538204	mbro'ʁa	creep	vi	YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	0871
538203	kalinə'cʰəŋo	slow		YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	0868
538202	te'mbam	swift		YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	0866
538201	nə'xdor	run	vi	YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	0864
538200	ʂka'ta	walk	vi	YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	0862
538199	na'smət	stop	v	YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	0854
538198	wuȵoŋ'wura'və	enter	v	YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	0841
538197	na'he	get out	vi	YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	0839
538196	vi	come	vi	YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	0835
538195	heŋ	go	vi	YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	0833
538194	wundʑə'napkok	peel	vt	YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	0823
538193	mati'ʂu	rest	v	YN-RGLD	2104	rGyalrong (Aba Kehe Shuiricun)	0815
